timestamp,dataset,alpha_grd,grad_threshold,thresh_silent,thresh_silent_chirp,monotonicity_thresh,t_monotonicity,detection_area,recall,precision,f_score,recall_ext,precision_ext,f_score_ext,iou_score_ext,inactive_percentage
1763117850,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,0.0001,0.0,100,1,-19,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.28714603527729227,0.4825361512791988,0.3600403993692119,0.314014700227322,0.5509193476156776,0.4000230357962634,0.30917127552928647,98.2120931310429
1763117850,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,0.0001,0.0,100,3,-19,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.3165992637321897,0.5290396737115313,0.3961349502373428,0.3498107056979858,0.6090771920165711,0.44439338665075506,0.3434065882276879,96.20053862627388
1763117850,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,0.0001,0.0,100,5,-19,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.33582260712961515,0.5555376344086022,0.4186008887512455,0.37301638181889446,0.6419998986100239,0.4718672627538065,0.3653914332283693,94.54356089074186
1763117850,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,0.0001,0.0,100,7,-19,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.35252184967424166,0.5750685947348909,0.43709860044785454,0.3940569357121505,0.6680557798726711,0.4957138864077984,0.3850006989007117,93.23195532460733
1763117850,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,0.0001,0.0,100,9,-19,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.3671248477143926,0.5890989988876536,0.4523478027914079,0.4118767347719935,0.6870008502842404,0.5149976089669495,0.401467115340675,92.20221870659752
1763117850,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,0.0001,0.0,100,11,-19,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.3800384024577583,0.6020837968112728,0.4659602687452897,0.4288425975187118,0.7056981250257304,0.533490615751452,0.41722947186966547,91.36979792831448
1763117850,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,0.0001,0.0,100,13,-19,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.3941715662905892,0.6147107897664084,0.4803365049682339,0.4465079917550693,0.7234649432871095,0.5522057245873778,0.43348614236706845,90.67130456899758
1763117850,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,0.0001,0.0,100,15,-19,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.40711041368716777,0.6275713756025231,0.49385394140529504,0.46155973914401266,0.7385427829592697,0.5680874844117686,0.4473702918088392,90.07154568938294
1763117850,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,0.0001,0.0,100,17,-19,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.41886090364956036,0.6354875787912514,0.5049201538560883,0.4759025702165677,0.7500316641515795,0.5823183394269501,0.46032313687237636,89.54715195015963
1763117850,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,0.0001,0.0,100,19,-19,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.4303995179829464,0.6423698289104322,0.5154428823926901,0.4893751953666603,0.7594067750798082,0.5951957102785524,0.4724688221936414,89.08321234923174
1763117850,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,0.0001,0.0,100,21,-19,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.4401695005032074,0.6458212829069361,0.5235234649068093,0.5018714224407512,0.7667273662849119,0.6066512979961808,0.48319534198113634,88.66841042221601
1763117850,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,0.0001,0.0,100,23,-19,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.45135083955718236,0.651940780761696,0.5334111320201166,0.5150247015850206,0.7756231250612494,0.6190148190464029,0.4947190333573617,88.29462390191829
