t_enc,alpha_grd,timestamp,dataset,k,alpha,tau,thresh,thresh_silent,thresh_silent_chirp,guard_cells,ref_cells,monotonicity_thresh,t_monotonicity,detection_area,recall,precision,f_score,recall_ext,precision_ext,f_score_ext,iou_score_ext,inactive_percentage
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,100,40,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.5371365008739852,0.6533637463142511,0.589576548806516,0.6134761042076289,0.8063607150629282,0.69681673254951,0.5722269604442409,68.54825351506976
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,100,43,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.5507774511361818,0.6503039973868711,0.5964171299169823,0.6278025018888478,0.8074935610601566,0.7063998675215676,0.5822205434097062,66.46897588510251
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,100,46,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.5627510726203708,0.6449529018133066,0.6010544669275963,0.6398105608021207,0.805689811171072,0.713232395295871,0.5894264325599602,64.39856940512088
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,100,49,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.5756446316012491,0.6387362501544965,0.6055515133788894,0.6525769317988085,0.8041805807272883,0.7204901129642824,0.5969465391207639,62.33618014383735
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,100,52,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.5879926108374375,0.631104201076396,0.6087861115392419,0.6646232134068668,0.8006891493584422,0.7263387729161708,0.6032562984403187,60.281248833298775
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,100,55,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.6012323216272041,0.6252055113345472,0.612984609421443,0.6766996391519923,0.7981740864466682,0.7324343816587008,0.6094747793468944,58.23281169212144
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,100,58,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.6152865617882297,0.6175465678802753,0.6164144883343181,0.689446886306806,0.7943577763990396,0.7381935178209098,0.6153369039996096,56.19041250147801
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,125,1,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.31210683828592667,0.5233222098628104,0.39101450621557565,0.34402909247002916,0.6013558930049496,0.4376712622100682,0.33774492490513564,97.76310315235662
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,125,4,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.3584842947190005,0.5798034853540976,0.44304198716385135,0.40045911186467575,0.6740576445977908,0.5024258980898005,0.3910332324664107,94.01946426025704
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,125,7,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.3889663117749894,0.6087208008898781,0.47464155734600466,0.43898161089041526,0.7139045843654758,0.5436633434212176,0.4264853010855825,90.82262577467706
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,125,10,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.4167486360506407,0.6332962550982589,0.5026934567072434,0.47294113578983343,0.7463154826617276,0.5789811329151168,0.45751438335463274,87.81456958068046
