timestamp,dataset,thresh_silent,thresh_silent_chirp,detection_area,recall,precision,f_score,recall_ext,precision_ext,f_score_ext,iou_score_ext,inactive_percentage
1757906968,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,100,1,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.2871301446051168,0.4825361512791988,0.36002790776920834,0.31399801502153785,0.5509193476156776,0.40000949700161004,0.30915459032350234,98.2174512535193
1757906968,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,100,2,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.3041013824884796,0.5107767890248422,0.3812298113001855,0.3348187005703363,0.5860894741150597,0.4261743339987669,0.3290152040751717,97.14412277533131
1757906968,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,100,3,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.31654364637957566,0.5289284390063032,0.3960602311315704,0.3497402570513414,0.608891800841191,0.4442871922922686,0.34333706653692037,96.17494051261036
1757906968,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,100,4,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.3270890937019976,0.5436021505376345,0.40842568221059855,0.36220899799698464,0.6270891391803538,0.45918882877800776,0.35522540253841983,95.25329056780853
1757906968,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,100,5,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.3358067164574397,0.5555320726733408,0.4185869646719122,0.3729996966131102,0.6419977317001818,0.4718533271343268,0.3653755425561939,94.36777830638229
1757906968,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,100,6,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.3443654324911283,0.5667500926955876,0.42841798487281163,0.3836740577771298,0.6563919699233484,0.4842780390168662,0.3753771842997842,93.52409814760142
1757906968,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,100,7,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.35254409661528724,0.5751798294401189,0.4371478313332887,0.39405446382981213,0.6680928581077473,0.4957221377375766,0.3850006989007117,92.69664401229967
1757906968,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,100,8,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.3607356056994552,0.5835057471264372,0.44584214885231777,0.4041363782729903,0.6794854236559104,0.5068277053537303,0.3943590977862487,91.8821916567125
1757906968,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,100,9,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.36714709465543816,0.5892102335928816,0.45239748105265,0.4118989817130391,0.6871120849894684,0.5150462522708431,0.40148936228172055,91.07897363509663
1757906968,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,100,10,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.37381548281159044,0.5959121245828707,0.45943041028935183,0.42067675611330757,0.6968454902053541,0.524636889644523,0.4096904051140349,90.28924640576902
1757906968,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,100,11,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.38002357116372787,0.6021208750463487,0.4659602235913828,0.4288293552918989,0.7057120293638838,0.533484341777885,0.4172136938972927,89.51013947312764
1757906968,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,100,12,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.3874601408972948,0.6089896180941795,0.4735997951418651,0.4380934796667686,0.7148992660646977,0.5432691671732334,0.42582975756525127,88.73776538050615
1757906968,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,110,1,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.2951647333015521,0.4969225064886908,0.37034808763331256,0.32435374125325034,0.5694358289714252,0.4132933424533754,0.3189425674731953,98.03837895701137
1757906968,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,110,2,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.31431100693892766,0.5251538746755652,0.3932544286151219,0.3470594814448171,0.6041694997006473,0.4408670366919378,0.3407774874228101,96.85203172848733
1757906968,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,110,3,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.327457095185127,0.5428327771598072,0.40849479693152146,0.3628499477943039,0.6263322982789084,0.45950003720157256,0.3557334154836618,95.77999642576349
1757906968,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,110,4,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.3384518512633091,0.558244345569151,0.42141102142624587,0.37621216755784903,0.6456379548231638,0.47540602431721596,0.36836341194674194,94.76226566007915
1757906968,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,110,5,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.3483379681127187,0.5699351130886173,0.4323986865163466,0.38796071992842907,0.6599105666217857,0.4886466102427435,0.37938046985568974,93.7949391433211
1757906968,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,110,6,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.35746742412204086,0.578489061920653,0.44188163813570835,0.3998247192358323,0.672819163225828,0.5015825567530924,0.3902975030394138,92.86483920948717
1757906968,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,110,7,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.36572130409449716,0.588064516129033,0.4509769697039972,0.4097727376743246,0.6849330992036975,0.5127713750408648,0.39955289722634413,91.95093594164345
1757906968,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,110,8,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.37393890036548644,0.5955747126436787,0.4594232568702388,0.4200551692651821,0.6948971820042648,0.5236011215337624,0.40916669319814863,91.05385068634946
1757906968,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,110,9,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.38139970337412044,0.6024434556915097,0.4670902081246127,0.4298949972420532,0.7054566186023554,0.5342349703914706,0.418294798465584,90.1720675321339
1757906968,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,110,10,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.38922652153186177,0.610137189469782,0.4752655533193187,0.43996812451444023,0.7160058904280453,0.5450291476377982,0.42759504569273754,89.30396905248689
1757906968,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,110,11,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.39738492504899786,0.6184315906562856,0.48385783275233124,0.44992683274831674,0.7265059453636412,0.5557045370945186,0.4367462988361782,88.44520378788738
